num_of_process,activation,batch_size,train_rmse,test_rmse,training_time_sec
3,relu,1024,0.1901,0.1901,483.87
3,relu,2048,0.2009,0.2009,177.73
3,relu,4096,0.2225,0.2227,126.62
3,relu,8192,0.2349,0.2351,92.02
3,relu,16384,0.2382,0.2385,126.39
3,tanh,1024,0.1919,0.192,204.33
3,tanh,2048,0.2139,0.214,162.61
3,tanh,4096,0.2258,0.226,140.88
3,tanh,8192,0.2321,0.2323,116.8
3,tanh,16384,0.2359,0.2362,144.52
3,sigmoid,1024,0.2261,0.2263,167.79
3,sigmoid,2048,0.2317,0.2319,138.7
3,sigmoid,4096,0.2358,0.2361,146.55
3,sigmoid,8192,0.2425,0.2428,154.12
3,sigmoid,16384,0.2457,0.246,224.95
4,relu,512,0.1846,0.1846,538.9
4,relu,1024,0.1938,0.1938,137.37
4,relu,2048,0.2046,0.2047,154.03
4,relu,4096,0.2284,0.2286,90.98
4,relu,8192,0.2355,0.2357,93.62
4,relu,16384,0.2397,0.24,521.85
4,tanh,512,0.1894,0.1894,132.45
4,tanh,1024,0.1956,0.1957,172.81
4,tanh,2048,0.2196,0.2197,125.82
4,tanh,4096,0.2291,0.2293,102.28
4,tanh,8192,0.2321,0.2323,124.07
4,tanh,16384,0.2363,0.2366,146.01
4,sigmoid,512,0.2266,0.2268,72.41
4,sigmoid,1024,0.2293,0.2295,120.15
4,sigmoid,2048,0.2318,0.2321,145.59
4,sigmoid,4096,0.2362,0.2365,149.01
4,sigmoid,8192,0.2445,0.2448,132.97
4,sigmoid,16384,0.2483,0.2486,304.27
5,relu,512,0.9362,0.9362,948.255,
5,relu,1024,0.9841,0.9843,764.44
5,relu,2048,1.0951,1.0961,704.12
5,relu,4096,1.1655,1.1668,294.13
5,relu,8192,1.1915,1.1929,162.02
5,relu,16384,1.2008,1.2023,459.11
5,tanh,512,0.9543,0.9545,475.54
5,tanh,1024,0.9903,0.9907,785.81
5,tanh,2048,1.1186,1.1195,523.14
5,tanh,4096,1.1521,1.1532,323.63
5,tanh,8192,1.1679,1.1692,308.19
5,tanh,16384,1.2016,1.203,275.1
5,sigmoid,512,1.1146,1.1156,414.93
5,sigmoid,1024,1.1532,1.1545,223.6
5,sigmoid,2048,1.1686,1.1699,220.66
5,sigmoid,4096,1.2033,1.2047,173.05
5,sigmoid,8192,1.2296,1.2311,210.79
5,sigmoid,16384,1.2421,1.2437,407.06
